,Input
0,"Phoenix, AZ"
1,"Las Vegas, NV"
2,"Dallas, TX"
3,"Dallas/Fort Worth, TX"
4,"San Francisco, CA"
5,"St. Louis, MO"
6,"Houston, TX"
7,"Salt Lake City, UT"
8,"Providence, RI"
9,"Los Angeles, CA"
10,"Minneapolis, MN"
11,"Columbus, OH"
12,"Chicago, IL"
13,"Orlando, FL"
14,"Sitka, AK"
15,"Tampa, FL"
16,"Atlanta, GA"
17,"Greer, SC"
18,"Reno, NV"
19,"Denver, CO"
20,"San Juan, PR"
21,"Philadelphia, PA"
22,"Miami, FL"
23,"Sacramento, CA"
24,"Burlington, VT"
25,"Washington, DC"
26,"Newark, NJ"
27,"San Jose, CA"
28,"Medford, OR"
29,"New York, NY"
30,"Harrisburg, PA"
31,"Burbank, CA"
32,"West Palm Beach/Palm Beach, FL"
33,"Richmond, VA"
34,"Charlotte, NC"
35,"Charlottesville, VA"
36,"Fort Lauderdale, FL"
37,"Knoxville, TN"
38,"Aguadilla, PR"
39,"Raleigh/Durham, NC"
40,"Baltimore, MD"
41,"Cleveland, OH"
42,"Oakland, CA"
43,"Ontario, CA"
44,"Grand Junction, CO"
45,"Hartford, CT"
46,"Kansas City, MO"
47,"Seattle, WA"
48,"Buffalo, NY"
49,"Santa Ana, CA"
50,"Worcester, MA"
51,"Portland, OR"
52,"Pittsburgh, PA"
53,"Grand Rapids, MI"
54,"Albuquerque, NM"
55,"Boston, MA"
56,"Lubbock, TX"
57,"Hilo, HI"
58,"Montgomery, AL"
59,"San Diego, CA"
60,"Charleston/Dunbar, WV"
61,"San Antonio, TX"
62,"Valparaiso, FL"
63,"Austin, TX"
64,"Corpus Christi, TX"
65,"Tulsa, OK"
66,"Fort Myers, FL"
67,"Syracuse, NY"
68,"Boise, ID"
69,"Milwaukee, WI"
70,"Des Moines, IA"
71,"Detroit, MI"
72,"New Orleans, LA"
73,"Nashville, TN"
74,"Islip, NY"
75,"Honolulu, HI"
76,"Indianapolis, IN"
77,"Dayton, OH"
78,"Birmingham, AL"
79,"Charleston, SC"
80,"Casper, WY"
81,"El Paso, TX"
82,"Nantucket, MA"
83,"Oklahoma City, OK"
84,"Santa Fe, NM"
85,"Myrtle Beach, SC"
86,"Colorado Springs, CO"
87,"Gainesville, FL"
88,"Palm Springs, CA"
89,"Jackson, WY"
90,"Peoria, IL"
91,"Long Beach, CA"
92,"Columbia, SC"
93,"Savannah, GA"
94,"Omaha, NE"
95,"Cedar Rapids/Iowa City, IA"
96,"Bozeman, MT"
97,"Gulfport/Biloxi, MS"
98,"Tallahassee, FL"
99,"Midland/Odessa, TX"
100,"Jacksonville, FL"
101,"Mobile, AL"
102,"Tucson, AZ"
103,"Spokane, WA"
104,"Saginaw/Bay City/Midland, MI"
105,"Kahului, HI"
106,"La Crosse, WI"
107,"Wilmington, NC"
108,"Moline, IL"
109,"Santa Barbara, CA"
110,"Laredo, TX"
111,"Manchester, NH"
112,"Cordova, AK"
113,"Monroe, LA"
114,"Atlantic City, NJ"
115,"Little Rock, AR"
116,"Aspen, CO"
117,"Lihue, HI"
118,"Flint, MI"
119,"Bemidji, MN"
120,"Panama City, FL"
121,"Madison, WI"
122,"Rapid City, SD"
123,"Brunswick, GA"
124,"Fresno, CA"
125,"Roanoke, VA"
126,"South Bend, IN"
127,"Lafayette, LA"
128,"Pasco/Kennewick/Richland, WA"
129,"Allentown/Bethlehem/Easton, PA"
130,"Greensboro/High Point, NC"
131,"Arcata/Eureka, CA"
132,"Albany, NY"
133,"Cincinnati, OH"
134,"Sarasota/Bradenton, FL"
135,"San Luis Obispo, CA"
136,"Minot, ND"
137,"Duluth, MN"
138,"Louisville, KY"
139,"Harlingen/San Benito, TX"
140,"White Plains, NY"
141,"Bend/Redmond, OR"
142,"Valdosta, GA"
143,"Mission/McAllen/Edinburg, TX"
144,"Juneau, AK"
145,"Baton Rouge, LA"
146,"Ponce, PR"
147,"Green Bay, WI"
148,"Fairbanks, AK"
149,"Evansville, IN"
150,"Anchorage, AK"
151,"Norfolk, VA"
152,"Fort Smith, AR"
153,"Rochester, NY"
154,"Durango, CO"
155,"Fayetteville, AR"
156,"Hancock/Houghton, MI"
157,"Wichita, KS"
158,"Pocatello, ID"
159,"Hibbing, MN"
160,"Shreveport, LA"
161,"Ketchikan, AK"
162,"Kona, HI"
163,"Grand Forks, ND"
164,"Niagara Falls, NY"
165,"Bakersfield, CA"
