,Input
0,"Los Angeles, CA"
1,"Newark, NJ"
2,"Orlando, FL"
3,"Baton Rouge, LA"
4,"Boston, MA"
5,"Houston, TX"
6,"Corpus Christi, TX"
7,"Long Beach, CA"
8,"Las Vegas, NV"
9,"Sacramento, CA"
10,"San Francisco, CA"
11,"Albuquerque, NM"
12,"Raleigh/Durham, NC"
13,"Birmingham, AL"
14,"Seattle, WA"
15,"Dallas, TX"
16,"Erie, PA"
17,"Fort Myers, FL"
18,"Dallas/Fort Worth, TX"
19,"Chicago, IL"
20,"Tampa, FL"
21,"New York, NY"
22,"Fort Lauderdale, FL"
23,"Portland, OR"
24,"Cleveland, OH"
25,"Miami, FL"
26,"Greer, SC"
27,"Denver, CO"
28,"White Plains, NY"
29,"St. George, UT"
30,"Phoenix, AZ"
31,"Hartford, CT"
32,"Memphis, TN"
33,"Ontario, CA"
34,"San Antonio, TX"
35,"Salt Lake City, UT"
36,"San Diego, CA"
37,"Atlanta, GA"
38,"Minneapolis, MN"
39,"Garden City, KS"
40,"Washington, DC"
41,"Albany, NY"
42,"Kahului, HI"
43,"San Juan, PR"
44,"Indianapolis, IN"
45,"Brownsville, TX"
46,"Roanoke, VA"
47,"Burbank, CA"
48,"Manchester, NH"
49,"Nashville, TN"
50,"Oakland, CA"
51,"Waco, TX"
52,"Austin, TX"
53,"St. Louis, MO"
54,"Palm Springs, CA"
55,"Detroit, MI"
56,"San Jose, CA"
57,"Philadelphia, PA"
58,"Bend/Redmond, OR"
59,"Kansas City, MO"
60,"Columbus, OH"
61,"Anchorage, AK"
62,"Oklahoma City, OK"
63,"El Paso, TX"
64,"Mobile, AL"
65,"Savannah, GA"
66,"Milwaukee, WI"
67,"West Palm Beach/Palm Beach, FL"
68,"New Orleans, LA"
69,"Grand Rapids, MI"
70,"Charlotte, NC"
71,"Richmond, VA"
72,"Fort Smith, AR"
73,"Norfolk, VA"
74,"Tucson, AZ"
75,"Pellston, MI"
76,"South Bend, IN"
77,"Buffalo, NY"
78,"Honolulu, HI"
79,"Providence, RI"
80,"Baltimore, MD"
81,"Evansville, IN"
82,"Fort Wayne, IN"
83,"Valparaiso, FL"
84,"Santa Ana, CA"
85,"Charlotte Amalie, VI"
86,"Reno, NV"
87,"Duluth, MN"
88,"Appleton, WI"
89,"Jacksonville, FL"
90,"Peoria, IL"
91,"Twin Falls, ID"
92,"Elmira/Corning, NY"
93,"Eau Claire, WI"
94,"Scranton/Wilkes-Barre, PA"
95,"Tulsa, OK"
96,"Jackson/Vicksburg, MS"
97,"Atlantic City, NJ"
98,"Little Rock, AR"
99,"Fargo, ND"
100,"Burlington, VT"
101,"Lexington, KY"
102,"Louisville, KY"
103,"Billings, MT"
104,"La Crosse, WI"
105,"Missoula, MT"
106,"Spokane, WA"
107,"Saginaw/Bay City/Midland, MI"
108,"Ithaca/Cortland, NY"
109,"Boise, ID"
110,"Killeen, TX"
111,"Bakersfield, CA"
112,"Omaha, NE"
